Metadata_broad_sample,Metadata_Plate,Metadata_Well,Metadata_pert_iname,Metadata_InChIKey,Control,Cytoskeletal,Hsp90,Kinase,Genotoxin,Miscellaneous,Redox,HDAC,mTOR,Proteasome,Saponin,Mitochondria,Ferroptosis,Tannin,Nonspecific reactive,pred_injury,datatype,shuffled
BRD-K00259736-001-16-4,BR00117012,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.20205753847202e-15,1.1487425201371554e-14,1.0399912142710579e-12,8.111766689188127e-14,5.8126433569655265e-15,2.268100089036352e-14,5.798778141736789e-13,2.2753221143674854e-16,0.9999998249329127,3.724608144059209e-26,1.1901888200404561e-17,8.139732751711448e-18,9.654850690207874e-28,7.15582882284274e-21,1.7506534182960517e-07,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117013,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.649521116321309e-12,2.284836647387502e-12,7.871938088632104e-08,2.170617037346042e-11,1.0567483158457442e-11,1.6378237546473722e-12,1.156729363112165e-14,7.49641083174251e-12,0.9999999142791001,2.456190599873476e-18,4.0231122708582184e-16,3.794548783045676e-15,1.2998896824474492e-20,7.619004781909321e-22,6.954161146203358e-09,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117010,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.181489257277125e-10,3.4962061029965383e-10,1.658665844494418e-05,4.389277172744796e-10,1.1956952045180411e-09,6.066801433472409e-11,1.0583524721868003e-13,4.0053031259732856e-11,0.9999753093636352,3.8547255978110565e-23,5.154084054674401e-13,2.339718977500886e-14,9.674262629770882e-18,4.833857484962409e-17,8.10147416187557e-06,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117011,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.5183562933973344e-15,1.9458749418662545e-15,6.0741279409085e-11,1.1728591663041291e-15,1.2664382709358147e-15,8.099489955586264e-16,2.1420554074610425e-20,7.391388964047405e-14,0.9999999999354863,1.8480967594364442e-29,9.960078043000581e-22,1.794643131265016e-22,8.532798058340678e-23,7.20305021817245e-28,3.690816578404983e-12,mTOR,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117054,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.4065170411462136e-18,3.3941716627861126e-19,7.237054123293229e-15,3.7545993129163517e-19,2.9286489064772494e-17,2.633440549226152e-18,0.9999999845672598,2.833474940912498e-16,1.5427906166655794e-08,3.382354351191102e-16,4.92847431241125e-21,3.3844008367771334e-28,7.377724377798467e-45,4.800008996466958e-12,2.6059744282511834e-14,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117055,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.891632230415235e-15,6.313591756322759e-16,2.634582626632998e-10,7.079408145331497e-16,2.4671355751305037e-13,5.307929701511317e-15,0.9853558288425858,2.5417227041979287e-13,1.0574826670691906e-05,2.7297528998714435e-12,1.2522821106350584e-18,1.6546661381031696e-26,6.970086347385527e-43,1.1820712341925486e-07,0.014633477856919435,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117008,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.8871264944517693e-11,3.241563534933106e-12,1.1787180723946775e-10,4.25864457118386e-12,4.081558022043271e-11,7.419221972212134e-12,0.9055502880861998,6.024570957285671e-10,0.09444836035386964,1.963375031347048e-11,7.24172401013749e-14,2.621275932266378e-21,1.4556419218510372e-30,2.9786630507659858e-08,1.3209586588225216e-06,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117009,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.8204146546305746e-12,2.1793124495273347e-12,1.6166936906800047e-09,1.1792859552516427e-12,1.5351207409939702e-11,2.808006193744248e-12,0.9999997703751516,1.1577318265042567e-10,2.9205267076903175e-08,1.5437561229686108e-11,1.4189954469810042e-14,1.2380471440649225e-21,5.532090482460282e-33,2.0300226655302814e-10,1.9844332223624114e-07,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117052,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,5.6921047869771804e-18,2.8820552224035676e-18,1.2451768880118374e-13,2.0297806925470226e-18,3.9239998082220885e-17,1.55097075146987e-17,0.9999368345158988,5.240197115464751e-18,3.0140478010184827e-15,4.5759330099846396e-17,8.06443125084787e-21,1.782047746538073e-27,1.1318392433813224e-41,6.31574739593411e-05,8.01001429940369e-09,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117053,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.340526415713443e-18,5.180930006277573e-19,1.97737410649445e-13,3.578730374046662e-19,8.546847166843124e-17,1.3528935918522284e-18,0.9999997304898136,2.9334871723214143e-18,2.3968089467530963e-14,8.532506901753531e-16,1.4620625548128466e-21,6.742401134890954e-30,3.8147956678307044e-44,2.6950969325645593e-07,2.705250321930724e-13,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117050,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.4650001157789765e-13,2.9170984697628927e-13,8.860109484386915e-10,1.371636489058023e-13,2.0761621068051054e-12,1.323408346898637e-13,0.9926688846410597,3.4751026977688597e-13,0.007320677341841063,9.219898229022537e-09,3.694610708978533e-17,2.709979885531351e-24,1.0800716209704329e-32,1.0424445303906774e-05,3.4626545804054376e-09,Redox,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117051,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.35496223585458e-12,2.3277330739316833e-12,8.092892065741533e-09,2.2358891165590644e-11,5.1643302974752124e-11,3.578263017732454e-12,0.3018983435524814,8.318492334287815e-13,0.13354107677651714,5.815984284111081e-19,1.870136337775969e-16,6.227734477329132e-25,2.350109779991669e-28,0.5645605647438269,6.7511872764626895e-09,Tannin,JUMP Overlap,True
